Timestamp,What grade are you in right now?,What science class(es) are you currently taking?,What science class(es) did you take last year?,What science class(es) are you planning to take next year?,What math class(es) are you currently taking?,What math class(es) did you take last year?,What math class(es) are you planning to take next year?
3/21/2022 11:32:06,11,AP Environmental Science,Chemistry,AP Physics 1,Introduction to Analysis & Calculus,Algebra 2 Trigonometry A,AP Calculus AB
3/21/2022 11:32:53,12,Physics,AP Biology,I'm currently a Senior,AP Calculus AB,Introduction to Analysis & Calculus,I'm currently a Senior
3/21/2022 11:43:47,10,Chemistry Honors,Biology Honors,Physics,Algebra 2 Trigonometry H,Geometry H,Introduction to Analysis & Calculus
3/21/2022 11:46:11,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 11:48:37,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 11:49:01,10,Chemistry Honors,Biology Honors,"AP Physics 1, AP Chemistry",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:49:55,12,Chemistry Honors,Biology Honors,"AP Physics C Mechanics ONLY, AP Chemistry",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:51:09,11,Chemistry Honors,Biology Honors,"AP Chemistry, AP Biology",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:52:02,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 11:52:15,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Algebra 2 Trigonometry H,"Geometry H, I'm currently a Freshman",Analysis H
3/21/2022 11:52:26,10,Chemistry Honors,Biology Honors,"AP Physics 1, AP Chemistry",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:52:48,10,Chemistry Honors,Biology Honors,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,"Analysis H, AP Statistics"
3/21/2022 11:52:52,10,Chemistry Honors,Biology Honors,AP Physics C Mechanics ONLY,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:52:52,10,Chemistry Honors,Biology Honors,AP Physics C Mechanics + EM,"Analysis H, i am totally not in your math class",Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:54:46,10,Chemistry Honors,Biology Honors,"AP Chemistry, AP Environmental Science",Algebra 2 Trigonometry H,Geometry A,Analysis H
3/21/2022 11:59:37,10,Chemistry Honors,Biology Honors,"AP Biology, Biotechnology",Algebra 2 Trigonometry H,Geometry A,Analysis H
3/21/2022 12:00:46,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry A,Geometry A,Introduction to Analysis & Calculus
3/21/2022 12:01:47,10,Chemistry Honors,Biology Honors,AP Biology,Algebra 2 Trigonometry H,Geometry H,Introduction to Analysis & Calculus
3/21/2022 12:02:15,10,Chemistry Honors,Biology Honors,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:02:24,10,"Chemistry Honors, AP CS A",Biology Honors,"AP Physics 1, AP Biology",Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:04:17,10,Chemistry Honors,Biology Honors,"AP Chemistry, Anatomy & Physiology ",Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:15:15,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:21:40,11,AP Physics 1,Chemistry Honors,AP Physics C Mechanics + EM,AP Calculus BC,Analysis H,AP Statistics
3/21/2022 12:22:50,10,Chemistry Honors,Biology,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:24:17,10,Chemistry Honors,Biology Honors,"Physics, AP Chemistry",Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:24:19,12,AP Environmental Science,AP Biology,I'm currently a Senior,AP Calculus AB,Introduction to Analysis & Calculus,I'm currently a Senior
3/21/2022 12:30:03,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,"Analysis H, AP Statistics"
3/21/2022 12:35:01,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:38:42,12,AP Environmental Science,No Science,I'm currently a Senior,AP Calculus AB,Analysis H,I'm currently a Senior
3/21/2022 12:41:52,10,Chemistry Honors,Biology Honors,AP Biology,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 12:48:50,10,Physics,Biology,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:49:56,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:50:50,9,Biology Honors,I'm currently a Freshman,Chemistry,Algebra 1A,I'm currently a Freshman,Algebra 2 Trigonometry A
3/21/2022 12:58:02,11,AP Physics C Mechanics + EM,Chemistry Honors,AP Chemistry,Applied Math,Analysis H,AP Statistics
3/21/2022 13:02:52,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 13:03:51,10,Chemistry Honors,Biology Honors,Physics,Algebra 2 Trigonometry H,Geometry H,Introduction to Analysis & Calculus
3/21/2022 13:04:40,11,AP Physics C Mechanics + EM,Chemistry Honors,AP Biology,AP Calculus BC,Analysis H,Applied Math
