,Algebra 1A,Geometry Non-Honors,Geometry H,Algebra 2,Algebra 2 Trigonometry A,Algebra 2 Trigonometry H,Pre-Calculus,Introduction to Analysis & Calculus,Analysis H,AP Calculus AB,AP Calculus BC,Multivariable Calculus,Math Elective,No class at Gunn
Algebra 1A,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geometry Non-Honors,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geometry H,0.0,0.0,0.0,0.0,0.02857142857142857,0.9714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algebra 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algebra 2 Trigonometry A,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.6923076923076923,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0
Algebra 2 Trigonometry H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04918032786885246,0.9016393442622951,0.0,0.0,0.0,0.16393442622950818,0.0
Pre-Calculus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Introduction to Analysis & Calculus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
Analysis H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.8888888888888888,0.022222222222222223,0.17777777777777778,0.0
AP Calculus AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AP Calculus BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.47058823529411764,0.4117647058823529,0.35294117647058826
Multivariable Calculus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Math Elective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.18181818181818182
No class at Gunn,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0
