,Biology,Biology Honors,Chemistry,Chemistry Honors,Conceptual Physics,Physics,AP Physics 1,AP Physics C,AP Chemistry,AP Biology,Other Science,No class at Gunn
Biology,0.0,0.0,0.3333333333333333,0.5555555555555556,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
Biology Honors,0.0,0.0,0.022727272727272728,0.9545454545454546,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0
Chemistry,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0
Chemistry Honors,0.0,0.0,0.0,0.0,0.0,0.08450704225352113,0.29577464788732394,0.2112676056338028,0.36619718309859156,0.1267605633802817,0.09859154929577464,0.0
Conceptual Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.2727272727272727
AP Physics 1,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.6153846153846154,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385
AP Physics C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.5
AP Chemistry,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0
AP Biology,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285
Other Science,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.1111111111111111,0.5555555555555556
No class at Gunn,0.3125,0.4375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125
